"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"07/02/2019","20,14","20,20","0,55","19,95","20,54","73,30M"
"06/02/2019","20,32","20,09","-2,90","20,02","20,64","147,67M"
"05/02/2019","20,59","20,69","0,34","20,32","20,79","78,07M"
"04/02/2019","20,54","20,62","0,29","20,21","20,78","72,01M"
"01/02/2019","20,94","20,56","-2,37","20,31","21,31","163,68M"
"31/01/2019","20,69","21,06","2,43","20,37","21,06","119,90M"
"30/01/2019","20,69","20,56","-0,48","20,28","20,81","66,80M"
"29/01/2019","20,49","20,66","1,17","20,44","20,88","113,37M"
"28/01/2019","20,45","20,42","-0,15","20,21","20,64","139,82M"
"24/01/2019","20,05","20,45","2,30","19,89","20,45","102,40M"
"23/01/2019","19,60","19,99","2,46","19,48","20,00","102,52M"
"22/01/2019","19,89","19,51","-2,25","19,30","19,93","97,85M"
"21/01/2019","20,26","19,96","-2,25","19,70","20,38","55,49M"
"18/01/2019","20,49","20,42","-0,20","20,21","20,75","84,91M"
"17/01/2019","20,40","20,46","0,44","20,22","20,63","110,22M"
"16/01/2019","20,36","20,37","0,15","20,18","20,45","76,29M"
"15/01/2019","20,36","20,34","-0,68","20,21","20,57","55,89M"
"14/01/2019","20,49","20,48","-0,05","20,13","20,64","59,56M"
"11/01/2019","20,77","20,49","-1,35","20,36","20,77","77,52M"
"10/01/2019","20,83","20,77","-0,10","20,52","20,94","72,56M"
"09/01/2019","20,02","20,79","3,95","20,00","20,97","147,87M"
"08/01/2019","19,97","20,00","0,15","19,79","20,24","89,89M"
"07/01/2019","19,62","19,97","3,34","19,57","20,11","115,14M"
"04/01/2019","19,45","19,33","-1,27","19,03","19,60","85,60M"
"03/01/2019","19,65","19,58","-0,30","19,23","19,66","99,24M"
"02/01/2019","19,62","19,64","0,10","19,30","19,82","139,66M"
